ranking,recipe_id,name,Q_Score_Bayesien,Pop_Weight,Final_Score,reviews_in_season,Saison
6,19817,7 up cranberry punch,4.733986928104574,0.9871435466600285,4.673124646051362,16,Winter
7,356040,spinach banana smoothie,4.770409982174687,0.9787648088914948,4.669109414537287,14,Winter
8,122568,quick n easy strawberry and banana smoothie,4.78785578747628,0.9648830017919481,4.6197206643670645,12,Winter
9,88364,lemon drop martini,4.731985294117647,0.9726974803027928,4.602790172418104,13,Winter
10,147441,amaretto coffee,4.820113851992409,0.9548090426076362,4.602288292280678,11,Winter
11,219828,godiva chocolate martini,4.814117647058823,0.9548090426076362,4.596563061588761,11,Winter
12,35932,most refreshing lemonade you will ever taste    quick   easy,4.763235294117647,0.9648830017919481,4.595964768829588,12,Winter
13,145402,orange julius smoothie,4.755597722960151,0.9548090426076362,4.540687708886637,11,Winter
14,350534,strawberry banana sunrise smoothie,4.814117647058823,0.9418065950277476,4.533967749239462,10,Winter
15,284630,banana blueberry smoothie,4.814117647058823,0.9418065950277476,4.533967749239462,10,Winter
16,86863,so simple punch,4.807707910750507,0.9418065950277476,4.527931017311901,10,Winter
17,59148,ya ya punch,4.723339658444022,0.9548090426076362,4.509887417189616,11,Winter
18,146538,magic bullet smoothie,4.78078431372549,0.9418065950277476,4.50257419607187,10,Winter
19,72091,ceta s irish soda bread,4.7474509803921565,0.9418065950277476,4.471180642904279,10,Winter
20,66947,refreshing mojito  by the pitcher mojitos,4.807707910750507,0.9249973513959593,4.44711708372962,9,Winter
