ranking,recipe_id,name,Q_Score_Bayesien,Pop_Weight,Final_Score,reviews_in_season,Saison
7,26110,southern buttermilk biscuits,4.72076639175123,0.9829074289886918,4.640076356972425,170,Summer
8,50719,the sweetest blueberry muffins,4.605440148010756,0.99663039439555,4.58992163107706,235,Summer
9,77397,kittencal s 5 minute cinnamon flop brunch cake,4.669158292585771,0.972539014640636,4.54093860507252,151,Summer
10,5170,pete s scratch pancakes,4.62333289783418,0.9769390775290895,4.516714576320016,158,Summer
11,2496,dark chocolate cake,4.745939896329676,0.9500590658664047,4.508923224565073,127,Summer
12,66596,kittencal s famous greek salad,4.797195537900071,0.93268846287086,4.474288932334965,115,Summer
13,89207,kittencal s chocolate frosting icing,4.725567869612786,0.9448316844774969,4.464866250358985,123,Summer
14,90674,denny s style french toast,4.836563218784025,0.9199053929794508,4.449180588445476,108,Summer
15,97496,soft snickerdoodle cookies,4.701320955284094,0.9461874752274096,4.448331004913971,124,Summer
16,73825,why i joined zaar carrot cake,4.7897758624573905,0.9178923915556041,4.39649882140632,107,Summer
17,32614,fudge crinkles  a great 4 ingredient cake mix cookie,4.791815650275718,0.8947887557556601,4.287662763520709,97,Summer
18,69630,white almond sour cream wedding cake,4.7658967933077765,0.8809293991838694,4.1984185987009495,92,Summer
19,71109,fresh blueberry cobbler,4.60870553580929,0.904716184012207,4.169570485593314,101,Summer
20,114392,ultimate pizza sauce,4.706238117858189,0.8838385716798844,4.159554776073209,93,Summer
1,31128,yummy crunchy apple pie,4.859136534500215,0.9956736866161134,4.838114387076875,225,Fall
2,2886,best banana bread,4.831792986481165,0.9999055732647352,4.831336736043976,378,Fall
3,67256,best ever banana cake with cream cheese frosting,4.795272884131346,0.9987287879001466,4.789177075218939,274,Fall
4,32614,fudge crinkles  a great 4 ingredient cake mix cookie,4.760262515637787,0.998196144316774,4.751675689045306,260,Fall
5,101104,libby s famous pumpkin pie,4.826838872342615,0.9841408297124673,4.750289212715652,173,Fall
6,97496,soft snickerdoodle cookies,4.751247893360567,0.9938615994675124,4.722082830761982,211,Fall
7,32204,whatever floats your boat  brownies,4.708143104444616,0.999442877201972,4.705520090584752,307,Fall
8,29679,reeses squares   5 ingredients   no bake  reese s,4.809236932358775,0.9780616871009855,4.703730387731192,160,Fall
9,25885,banana banana bread,4.710641113885109,0.9958846108612673,4.691254992608559,227,Fall
